MARKET_CODE,MARKET_DESC,STOCK_CODE,STOCK_NAME,FULL_NAME,SHORT_NAME,WEBSITE,UC_NO
2,深A,002392,北京利尔,北京利尔高温材料股份有限公司,北京利尔,http://www.bjlirr.com,920000025095 
2,深A,002353,杰瑞股份,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,http://www.jereh.com,920000027710 
2,深A,300417,南华仪器,佛山市南华仪器股份有限公司,南华仪器,http://www.nanhua.com.cn,920000012573 
2,深A,002040,南京港,南京港股份有限公司,南京港,http://www.nj-port.com,920000023548 
2,深A,002519,银河电子,江苏银河电子股份有限公司,银河电子,http://www.yinhe.com,920000034398 
2,深A,300325,德威新材,江苏德威新材料股份有限公司,德威新材,http://www.chinadewei.com,920000046204 
2,深A,300239,东宝生物,包头东宝生物技术股份有限公司,东宝生物,http://www.dongbaoshengwu.com,920000019947 
2,深A,002855,捷荣技术,东莞捷荣技术股份有限公司,捷荣技术,http://www.chitwing.com,920000030712 
2,深A,002205,国统股份,新疆国统管道股份有限公司,国统管道,http://www.xjgt.com,920000044134 
2,深A,002026,山东威达,山东威达机械股份有限公司,山东威达,http://www.weidapeacock.com,920000049042 
2,深A,002089,新海宜,苏州新海宜通信科技股份有限公司,新海宜,http://www.nsu.com.cn,920000015669 
2,深A,002219,恒康医疗,恒康医疗集团股份有限公司,恒康医疗,http://www.duyiwei.com,920000003427 
2,深A,000710,*ST天仪,成都天兴仪表股份有限公司,天兴仪表,http://www.txyb.com.cn,920000026760 
2,深A,000426,兴业矿业,内蒙古兴业矿业股份有限公司,兴业矿业,http://www.ddjc.com.cn,920000052212 
2,深A,000717,*ST韶钢,广东韶钢松山股份有限公司,韶钢松山,http://www.sgss.com.cn,920000020286 
2,深A,000511,*ST烯碳,银基烯碳新材料股份有限公司,烯碳新材,http://www.iigdl.com,920000038657 
2,深A,300555,路通视信,无锡路通视信网络股份有限公司,路通视信,http://www.lootom.com,920000002503 
2,深A,300546,雄帝科技,深圳市雄帝科技股份有限公司,雄帝科技,http://www.xiongdi.cn/,920000003939 
2,深A,002675,东诚药业,烟台东诚药业集团股份有限公司,东诚药业,http://www.dcb-group.com/,920000024891 
2,深A,002835,同为股份,深圳市同为数码科技股份有限公司,同为股份,http://www.tvt.net.cn/,920000006167 
2,深A,002826,易明医药,西藏易明西雅医药科技股份有限公司,易明医药,http://www.emyy.cn/,920000020582 
2,深A,002526,山东矿机,山东矿机集团股份有限公司,山东矿机,http://www.skj.cc,920000002953 
2,深A,002534,杭锅股份,杭州锅炉集团股份有限公司,杭锅股份,http://www.chinaboilers.com,920000034879 
2,深A,002156,通富微电,通富微电子股份有限公司,通富微电,http://www.tfme.com,920000040178 
2,深A,002619,巨龙管业,浙江巨龙管业股份有限公司,巨龙管业,http://www.zjjlgy.com,920000031886 
2,深A,002447,壹桥股份,大连壹桥海参股份有限公司,壹桥股份,http://www.dlyiqiao.com,920000013448 
2,深A,002478,常宝股份,江苏常宝钢管股份有限公司,常宝股份,http://www.cbsteeltube.com,920000058051 
2,深A,300468,四方精创,深圳四方精创资讯股份有限公司,四方精创,http://www.formssi.com,920000030297 
2,深A,300502,新易盛,成都新易盛通信技术股份有限公司,新易盛,http://www.eoptolink.com,920000047926 
2,深A,300136,信维通信,深圳市信维通信股份有限公司,信维通信,http://www.sz-sunway.com.cn,920000044071 
2,深A,002309,中利集团,中利科技集团股份有限公司,中利科技,http://www.zhongli.com,920000059901 
2,深A,300347,泰格医药,杭州泰格医药科技股份有限公司,泰格医药,http://www.tigermed.net,920000063318 
2,深A,300300,汉鼎宇佑,汉鼎宇佑互联网股份有限公司,汉鼎宇佑,http://www.hakim.com.cn,920000013829 
2,深A,300117,嘉寓股份,北京嘉寓门窗幕墙股份有限公司,嘉寓股份,http://www.jiayu.com.cn,920000007816 
2,深A,002458,益生股份,山东益生种畜禽股份有限公司,益生股份,http://www.yishenggufen.com,920000010822 
2,深A,002702,海欣食品,海欣食品股份有限公司,海欣食品,http://www.tengxinfoods.com.cn,920000052715 
2,深A,300315,掌趣科技,北京掌趣科技股份有限公司,掌趣科技,http://www.ourpalm.com,920000014533 
2,深A,002760,凤形股份,安徽省凤形耐磨材料股份有限公司,凤形股份,http://www.fengxing.com,920000035556 
2,深A,002274,华昌化工,江苏华昌化工股份有限公司,华昌化工,http://www.huachangchem.cn,920000058948 
2,深A,002118,紫鑫药业,吉林紫鑫药业股份有限公司,紫鑫药业,http://www.jilinzixin.com.cn,920000035681 
2,深A,002124,天邦股份,宁波天邦股份有限公司,天邦股份,http://www.tianbang.com,920000060201 
2,深A,000585,东北电气,东北电气发展股份有限公司,东北电气,http://www.nee.com.cn,920000000235 
2,深A,002336,*ST人乐,人人乐连锁商业集团股份有限公司,人人乐,http://www.renrenle.cn,920000057042 
2,深A,000031,中粮地产,中粮地产(集团)股份有限公司,中粮地产,http://www.cofco-property.cn,920000053191 
