FULL_NAME,WEB_SITE,SHORT_NAME,UC_NO,REGISTER_NO
北京荣泽投资管理有限公司,,荣泽投资,920000052027 ,P1008465
奕融资产管理（上海）有限公司,http://www.ecapital.cc,奕融资产,920000052224 ,P1006635
瑞锐投资管理咨询（上海）有限公司,,瑞锐投资,920000040633 ,P1009080
山东共托投资控股有限公司,http://www.sdgtjt.cn,共托投资,920000036220 ,P1013396
南通红土创新资本创业投资管理有限公司,http://www.szvc.com.cn,红土创新资本,920000038180 ,P1007688
深圳市江豚投资有限公司,,市江豚投,920000002942 ,P1002491
北京华卓投资管理有限公司,,华卓投资,920000010990 ,P1013072
深圳前海萃英投资管理有限公司,,萃英投资,920000059793 ,P1011109
盛世长宏（北京）投资管理有限公司,,盛世长宏,920000037825 ,P1010099
中健文基金管理（深圳）有限公司,www.zjwfund.cn,中健文基金,920000004216 ,P1029036
深圳市信一资本投资有限公司,,信一资本,920000004254 ,P1013937
上海品言股权投资基金管理有限公司,,品言投资,920000013731 ,P1014603
深圳前海沃盈投资管理有限公司,,沃盈投资,920000025120 ,P1013964
福建汇昆吾泽创业投资有限公司,,汇昆吾泽,920000009812 ,P1023798
浙江创新产业投资管理有限公司,,浙江创新产业投资,920000051917 ,P1015863
绍兴越商资产管理有限公司,,越商资产,920000041439 ,P1009733
深圳市汉华投资有限公司,,汉华投资,920000033027 ,P1010586
重庆兴农资产经营管理有限公司,,兴农资产,920000015446 ,P1004976
北京润鼎财富投资基金管理有限公司,,润鼎财富,920000048906 ,P1012620
宁波北远投资有限公司,,北远投资,920000066666 ,P1015803
湖南金信世纪资产管理有限公司,,金信世纪,920000037497 ,P1029352
北京浩远企业投资管理中心（有限合伙）,,浩远企业,920000047302 ,P1028787
上海雷洛资产管理有限公司,,雷洛资产,920000030066 ,P1023945
深圳零点投资有限公司,,零点投资,920000059096 ,P1026889
深圳前海无量资本管理有限公司,,无量资本,920000004437 ,P1022101
佛山弘添投资管理有限公司,,弘添投资,920000056907 ,P1007741
北京麟盛投资基金有限公司,http://www.linszb.com,麟盛投资,920000004014 ,P1017984
上海新地资产管理有限公司,,新地资产,920000014107 ,P1016435
深圳市招商金葵资本管理有限责任公司,,招商金葵,920000018269 ,P1018093
国新思创投资基金管理（北京）有限公司,,国新思创,920000031468 ,P1032421
泓华股权投资基金管理（上海）有限公司,http://www.honghuajijin.com,泓华投资,920000013471 ,P1010653
深圳市紫金港资本管理有限公司,,紫金港资本,920000026232 ,P1006852
河南农开产业基金投资有限责任公司,,农开产业基金,920000009721 ,P1008372
浙江岳佑投资管理有限公司,,岳佑投资,920000039424 ,P1010656
惠赢（深圳）投资有限公司,,惠赢投资,920000050431 ,P1030919
广东蜜蜂股权投资基金管理有限公司,,蜜蜂投资,920000031522 ,P1005035
北京梧桐之星资产管理有限公司,http://www.wutongfund.com,梧桐之星,920000026327 ,P1002394
上海思晔投资管理有限公司,,思晔投资,920000059332 ,P1003486
陕西智网资产管理有限公司,,智网资产,920000014622 ,P1013202
北京黑马创展投资管理有限公司,,黑马创展,920000059153 ,P1032016
宁波杭州湾新区软银天悦创业投资管理合伙企业（有限合伙）,http://www.sbcvc.com,软银天悦,920000053612 ,P1009889
山东福道投资有限公司,http://sdfdtz.com/,福道投资,920000035039 ,P1003376
高能天汇创业投资有限公司,http://www.powercapital.cn,高能天汇,920000039788 ,P1000497
元兹投资管理（上海）有限公司,,元兹投资,920000008934 ,P1016566
上海名城股权投资基金有限公司,,名城基金,920000024310 ,P1024650
金华市裕恒资本管理有限责任公司,,裕恒资本,920000062730 ,P1016173
中信并购基金管理有限公司,http://www.goldstone-investment.com/,中信并购,920000031473 ,P1000710
北京鼎顺创产投资基金管理有限公司,,鼎顺创产,920000012528 ,P1031251
富巨投资基金管理（北京）有限公司,,富巨投资,920000037781 ,P1023294
深圳金豆投资有限公司,,金豆投资,920000031173 ,P1008036
久响永泰投资管理（北京）有限公司,http://www.ppcpek.com/,永泰投资,920000024844 ,P1001115
厦门建发新兴创业投资有限公司,,建发新兴创业,920000009855 ,P1029366
北京越金利源投资管理有限公司,,越金利源,920000042276 ,P1021665
北京清科成长投资管理有限公司,http://www.zero2ipo.com.cn/,清科成长,920000057525 ,P1006312
西藏达孜涌果投资有限公司,,达孜涌果,920000016326 ,P1022156
中科明源资本管理有限公司,,中科明源,920000048553 ,P1018198
川江投资有限公司,,川江投资,920000016336 ,P1012889
青海诚富创业投资管理有限公司,www.chengfuvc.com,诚富创业,920000041840 ,P1029651
河北新元信股权投资基金管理有限公司,,新元信股权投资,920000027942 ,P1033126
深圳市安宝基金有限公司,,安宝基金,920000041742 ,P1013284
深圳沿湖资产管理有限公司,,沿湖资产,920000048452 ,P1030293
瑞晟昌（北京）资产管理有限公司,,瑞晟昌,920000007773 ,P1007309
杭州济海投资有限公司,,济海投资,920000040822 ,P1002313
宁波天磊投资合伙企业（有限合伙）,,天磊投资,920000017842 ,P1014359
海佑财富（上海）投资有限公司,,海佑财富,920000051201 ,P1005261
汕头宜华投资有限公司,,宜华投资,920000002680 ,P1033242
广州广泰新业创业投资有限公司,,广泰新业,920000044333 ,P1032665
深圳前海盈方创赢资本管理有限公司,,盈方创赢,920000031689 ,P1020395
上海榕树投资管理有限公司,,上海榕树,920000064850 ,P1017096
深圳市国信股权投资基金管理有限公司,http://www.guoxinpe.com,国信基金,920000027622 ,P1004827
广州广证金骏投资管理有限公司,,广证金骏,920000065793 ,P1008285
武汉枫红资产管理有限公司,,枫红资产,920000059495 ,P1008558
南通百淼投资管理有限公司,,百淼投资,920000038848 ,P1001604
上海沣盈投资中心（有限合伙）,,沣盈投资,920000038740 ,P1025143
上海泽熙增煦投资中心（有限合伙）,,泽熙增煦(有限合伙),920000065997 ,P1011239
上海惠钜投资管理有限公司,,惠钜投资,920000048736 ,P1007646
上海勤馨投资管理中心（有限合伙）,,勤馨投资,920000059346 ,P1018168
厦门市融开资产管理有限公司,,融开资产,920000046496 ,P1019435
上海量游资产管理有限公司,,量游资产,920000020884 ,P1005511
厦门市深度世纪投资管理合伙企业(有限合伙),,深度世纪投资,920000060470 ,P1034078
甘肃国投传化基金管理有限公司,,国投传化,920000028066 ,P1005243
甘肃博汇私募股权投资基金管理有限公司,,甘肃博汇,920000031134 ,P1004846
安金资产管理有限公司,http://www.anjzg.com,安金资产,920000041156 ,P1031340
珠海九合盎然投资管理有限公司,,九合盎然投资,920000064828 ,P1034095
上海都颖股权投资基金管理有限公司,http://www.duyingfund.com,都颖投资,920000059602 ,P1011047
环亚鑫泰（北京）股权投资基金管理有限公司,正在办理,环亚鑫泰,920000023890 ,P1003274
北京阳光荷多资本投资管理有限公司,,,920007902113 ,P1024318
北京煜盈资产管理有限公司,,煜盈资产,920000007012 ,P1033316
杭州益翰投资管理有限公司,,益翰投资,920000056663 ,P1033796
陕西明瑞资产管理有限公司,http://www.sxmrzc.com,明瑞资产,920000017289 ,P1019076
上海朗盛投资有限公司,,朗盛投资,920000044645 ,P1009695
弘毅夹层（深圳）投资管理中心（有限合伙）,,弘毅夹层,920000003026 ,P1001380
上海盐商一佳投资管理有限公司,http://www.yanshangjituan.com/,盐商一佳,920000037944 ,P1006650
上海尔升资产管理有限公司,,尔升资产,920000044640 ,P1010385
国寿资本投资有限公司,,国寿资本,920000051923 ,P1033992
